Domain,TTL,Record_Type,IP_Address
ns4.teybwpnm.com.,114357,A,"94.30.151.74"""
ns2.dneuine.com.,114357,A,"91.200.105.235"""
ns1.dneuine.com.,114357,A,"72.185.78.169"""
ns2.teybwpnm.com.,114357,A,"114.76.3.253"""
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
ns4.teybwpnm.com.,142177,A,"114.76.3.253"""
ns2.dneuine.com.,142177,A,"89.132.131.231"""
ns1.dneuine.com.,142177,A,"72.185.78.169"""
ns2.teybwpnm.com.,142177,A,"77.37.202.152"""
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
odthem.cn.,,IN,A
ns2.teybwpnm.com.,111769,A,"89.149.84.55"""
ns4.teybwpnm.com.,111769,A,"93.72.2.106"""
ns2.dneuine.com.,111769,A,"77.120.73.164"""
